# nu E_polaron iters
-8.000000000000000000e+00 -7.644919833227517003e-01 2.300000000000000000e+01
-7.599999999999999645e+00 -7.200621034222827177e-01 2.300000000000000000e+01
-7.200000000000000178e+00 -6.723615616603773049e-01 2.300000000000000000e+01
-6.799999999999999822e+00 -6.213362557555512922e-01 2.300000000000000000e+01
-6.400000000000000355e+00 -5.670398317460554338e-01 2.200000000000000000e+01
-6.000000000000000000e+00 -5.096771434552440638e-01 2.200000000000000000e+01
-5.599999999999999645e+00 -4.496484778735991839e-01 2.200000000000000000e+01
-5.199999999999999289e+00 -3.875880601753545207e-01 2.200000000000000000e+01
-4.799999999999999822e+00 -4.611332511380573429e+00 1.500000000000000000e+01
-4.400000000000000355e+00 -4.385898137565855670e+00 1.200000000000000000e+01
-4.000000000000000000e+00 -4.174433418191775935e+00 1.300000000000000000e+01
-3.599999999999999645e+00 -3.977359672172196881e+00 1.300000000000000000e+01
-3.199999999999999289e+00 -3.794874533478427736e+00 1.300000000000000000e+01
-2.799999999999999822e+00 -3.626924643126101522e+00 1.200000000000000000e+01
-2.399999999999999467e+00 -3.473208374259068698e+00 1.400000000000000000e+01
-2.000000000000000000e+00 -3.333190037870038758e+00 1.600000000000000000e+01
-1.599999999999999645e+00 -3.206151175634906814e+00 1.700000000000000000e+01
-1.199999999999999289e+00 -3.091231956017900018e+00 1.800000000000000000e+01
-7.999999999999998224e-01 -2.987487787848192689e+00 1.900000000000000000e+01
-3.999999999999994671e-01 -2.893938430310957877e+00 2.000000000000000000e+01
0.000000000000000000e+00 -2.809609365129348113e+00 2.100000000000000000e+01
4.000000000000003553e-01 -2.733563151955730852e+00 2.100000000000000000e+01
8.000000000000007105e-01 -2.664919751631659395e+00 2.200000000000000000e+01
1.200000000000001066e+00 -2.602870101225713384e+00 2.200000000000000000e+01
1.600000000000001421e+00 -2.546680102111340993e+00 2.200000000000000000e+01
2.000000000000000000e+00 -2.495691464358875677e+00 2.300000000000000000e+01
2.400000000000000355e+00 -2.449319107985743038e+00 2.300000000000000000e+01
2.800000000000000711e+00 -2.407045240318018919e+00 2.300000000000000000e+01
3.200000000000001066e+00 -2.368413913588649500e+00 2.300000000000000000e+01
3.600000000000001421e+00 -2.333024527017633964e+00 2.300000000000000000e+01
4.000000000000000000e+00 -2.300525486979100087e+00 2.400000000000000000e+01
4.400000000000000355e+00 -2.270608687502273071e+00 2.400000000000000000e+01
4.800000000000000711e+00 -2.243003570999502649e+00 2.400000000000000000e+01
5.200000000000001066e+00 -2.217472661260461386e+00 2.400000000000000000e+01
5.600000000000001421e+00 -2.193807188519978801e+00 2.400000000000000000e+01
6.000000000000000000e+00 -2.171823333570007897e+00 2.400000000000000000e+01
6.400000000000000355e+00 -2.151358955800522388e+00 2.400000000000000000e+01
6.800000000000000711e+00 -2.132270755865009804e+00 2.400000000000000000e+01
7.200000000000001066e+00 -2.114431822596245958e+00 2.400000000000000000e+01
7.600000000000001421e+00 -2.097729515922650556e+00 2.400000000000000000e+01
8.000000000000000000e+00 -2.082063641341699523e+00 2.400000000000000000e+01
